Pontificate,Start date,End date,Years and days of Pontificate,Number of days of Pontificate (max),English name,Regnal name (latin),Personal name,Place of birth,Modern-day country of birth,Age at start of papacy,Age at end of papacy,Comments
1 September 1271 - 10 January 1276 (4 years),1271,1276,4 years,1460,Bd. Gregory X,GREGORIUS Decimus,Tebaldo Visconti,"Piacenza, Italy, Holy Roman Empire",Italy,n.a,n.a,
21 January 1276 - 22 June 1276,1276,1276,151 days,151,"Bd. Innocent V, O.P.",INNOCENTIUS Quintus,Pierre de Tarentaise,"County of Savoy, Holy Roman Empire",Italy,n.a,n.a,
11 July 1276 - 18 August 1276,1276,1276,38 days,38,Adrian V,HADRIANUS Quintus,Ottobuono Fieschi,"Genoa, Republic of Genoa, Holy Roman Empire",Italy,n.a,n.a,
8 September 1276 - 20 May 1277,1276,1277,263 days,263,John XXI ,IOANNES Vicesimus Primus,Pedro Hispano,"Lisbon, Portugal",Portugal,n.a,n.a,
25 November 1277 - 22 August 1280,1277,1280,2 years,730,Nicholas III ,NICOLAUS Tertius,Giovanni Gaetano Orsini,"Rome, Papal States, Holy Roman Empire",Italy,n.a,n.a,
22 February 1281 - 28 March 1285 ,1281,1285,4 years,1460,Martin IV,MARTINUS Quartus,Simon de Brion,"Meinpicien, Touraine, France",France,n.a,n.a,
2 April 1285 - 3 April 1287,1285,1287,2 years,730,Honorius IV,HONORIUS Quartus,Giacomo Savelli,"Rome, Papal States, Holy Roman Empire",Italy,n.a,n.a,
22 February 1288 - 4 April 1292,1288,1292,4 years,1460,"Nicholas IV, O.F.M.",NICOLAUS Quartus,Girolamo Masci,"Lisciano, Papal States, Holy Roman Empire",Italy,n.a,n.a,
4 April 1292 - 5 July 1294 ,1292,1294,2 years,730,interregnum,, , ,n.a,n.a,n.a,2 year period without a valid pope elected. This was due to a deadlock among cardinals voting for the pope.
5 July 1294 - 13 December 1294 ,1294,1294,223 days,223,"St. Celestine V, O.S.B.",COELESTINUS Quintus,Pietro da Morrone,"Sant' Angelo Limosano, Kingdom of Sicily",Italy,n.a,n.a,
24 December 1294 - 11 October 1303 ,1294,1303,8 years,2920,Boniface VIII,BONIFACIUS Octavus,Benedetto Caetani,"Anagni, Papal States, Holy Roman Empire",Italy,n.a,n.a,
22 October 1303 - 7 July 1304,1303,1304,259 days,259,"Bd. Benedict XI, O.P.",BENEDICTUS Undecimus,Niccolo Boccasini,"Treviso, Italy, Holy Roman Empire",Italy,n.a,n.a,
5 June 1305 - 20 April 1314,1305,1314,8 years and 319 days,1779,Clement V,CLEMENS Quintus,Bertrand de Got,"Villandraut, Gascony, France",France,n.a,n.a,
20 April 1314 - 7 August 1316,1314,1316,2 years,730,interregnum, , ,,n.a,n.a,n.a,2 year period without a valid pope elected. This was due to a deadlock among cardinals voting for the pope.
7 August 1316 - 4 December 1334 ,1316,1334,18 years ans 119 days,6689,John XXII,IOANNES Vicesimus Secundus,Jacques d'Euse; Jacques Duese,"Cahors, Quercy, France",France,n.a,n.a,
20 December 1334 - 25 April 1342 ,1334,1342,7 years and 126 days,2681,"Benedict XII, O.Cist.", BENEDICTUS Duodecimus,Jacques Fournier,"Saverdun, County of Foix, France",France,n.a,n.a,
7 May 1342 - 6 December 1352 ,1342,1352,10 years and 213 days,3863,"Clement VI, O.S.B.",CLEMENS Sextus,Pierre Roger,"Maumont, Limousin, France",France,n.a,n.a,
18 December 1352 - 12 September 1362 ,1352,1362,9 years and 268 days,3553,Innocent VI,INNOCENTIUS Sextus,Etienne Aubert,"Les Monts, Limousin, France",France,n.a,n.a,
28 September 1362 - 19 December 1370 ,1362,1370,8 years and 82 days,3002,"Bd. Urban V, O.S.B.",URBANUS Quintus,Guillaume (de) Grimoard,"Grizac, Languedoc, France",France,n.a,n.a,
8 April 1378 - 15 October 1389 ,1378,1389,11 years and 190 days,4205,Urban VI,URBANUS Sextus,Bartolomeo Prignano,"Naples, Kingdom of Naples",Italy,n.a,n.a,Western Schism
2 November 1389 - 1 October 1404 ,1389,1404,14 years and 334 days,5444,Boniface IX,BONIFACIUS Nonus,Pietro Tomacelli,"Naples, Kingdom of Naples",Italy,n.a,n.a,Western Schism
17 October 1404 - 6 November 1406 ,1404,1406,2 years and 20 days,750,Innocent VII,INNOCENTIUS Septimus,Cosimo Gentile Migliorati,"Sulmona, Kingdom of Naples",Italy,65,67,Western Schism
30 November 1406 - 4 July 1415 ,1406,1415,8 years and 216 days,3136,,GREGORIUS Duodecimus,Angelo Correr,"Venice, Republic of Venice",Italy,60,69,"Western Schism; abdicated during the Council of Constance, which had been called by his opponent John XXII."
4 July 1415 - 11 November 1417,0,0,Interregnum,0, , , ,,n.a,,,Two-year period without a valid pope elected.
11 November 1417 -20 February 1431,1417,1431,13 years and 101 days,4846,Martin V,MARTINUS Quintus,Oddone Colonna,"Genazzano, Papal States",Italy,48,62,
3 March 1431 - 23 February 1447 ,1431,1447,15 years and 357 days,5832,"Eugene IV, O.S.A.",EUGENIUS Quartus,Gabriele Condulmer,"Venice, Republic of Venice",Italy,47,63,
6 March 1447 - 24 March 1455 ,1447,1455,8 years and 18 days,6588,Nicholas V,NICOLAUS Quintus,Tommaso Parentucelli,"Sarzana, Republic of Genoa",Italy,49,57,
8 April 1455 - 6 August 1458 ,1455,1458,3 years and 362 days,1457,Callixtus III,CALLISTUS Tertius,Alfonso de Borgia,"Xativa, Kingdom of Valencia, Crown of Aragon",Spain,76,79,First Spanish pope
19 August 1458 - 15 August 1464 ,1458,1464,5 years and 362 days,2187,Pius II,PIUS Secundus,Enea Silvio Piccolomini,"Corsignano, Republic of Siena",Italy,52,58,
30 August 1464 - 26 July 1471 ,1464,1471,6 years and 330 days,2520,Paul II,PAULUS Secundus,Pietro Barbo,"Venice, Republic of Venice",Italy,47,54,
9 August 1471 - 12 August 1484 ,1471,1484,13 years and 3 days,4748,"Sixtus IV, O.F.M.",XYSTUS Quartus,Francesco della Rovere,"Celle Ligure, Republic of Genoa",Italy,57,70,
29 August 1484 - 25 July 1492 ,1484,1492,7 years and 331 days,2886,Innocent VIII,INNOCENTIUS Octavus,Giovanni Battista Cybo,"Genoa, Republic of Genoa",Italy,51,59,
11 August 1492 - 18 August 1503,1492,1503,11 years and 7 days,4022,Alexander VI,ALEXANDER Sextus,Rodrigo de Lanzol-Borgia,"Xativa, Kingdom of Valencia, Crown of Aragon",Spain,61,72,
22 September 1503 - 18 October 1503,1503,1503,26 days,26,Pius III ,PIUS Tertius,Francesco Todeschini Piccolomini,"Siena, Republic of Siena",Italy,64,64,
31 October 1503 - 21 February 1513,1503,1513,9 years and 113 days,7048,Julius II ,IULIUS Secundus,Giuliano della Rovere,"Albisola, Republic of Genoa",Italy,59,59,
9 March 1513 - 1 December 1521,1513,1521,8 years and 267 days,3187,Leo X,LEO Decimus,Giovanni di Lorenzo de' Medici,"Florence, Republic of Florence",Italy,37,45,
9 January 1522 - 14 September 1523,1522,1523,1 year and 248 days,613,Adrian VI Papa HADRIANUS Sextus,HADRIANUS Sextus,Adriaan Floriszoon Boeyens,"Utrecht, Bishopric of Utrecht, Holy Roman Empire (presently The Netherlands",Netherlands,62,64,
26 November 1523 - 25 September 1534,1523,1534,10 years ans 303 days,3953,Clement VII,CLEMENS Septimus,Giulio di Giuliano de' Medici,"Florence, Republic of Florence",Italy,45,56,
13 October 1534 - 10 November 1549,1534,1549,15 years and 28 days,5503,Paul III,PAULUS Tertius,Alessandro Farnese,"Canino, Lazio, Papal States",Italy,66,81,
7 February 1550 - 29 March 1555,1550,1555,5 years and 50 days,1875,Julius III,IULIUS Tertius,Giovanni Maria Ciocchi del Monte,"Rome, Papal States",Italy,62,67,
9 April 1555 - 30 April or 1 May 1555,1555,1555,21 or 22 days,22,Marcellus II,MARCELLUS Secundus,Marcello Cervini,"Montefano, Marche, Papal States",Italy,53,53,
23 May 1555 - 18 August 1559,1555,1559,4 years and 87 days,1547,"Paul IV, C.R.",PAULUS Quartus,Giovanni Pietro Carafa,"Capriglia Irpina, Campania, Kingdom of Naples",Italy,78,83,
26 December 1559 - 9 December 1565,1559,1565,5 years and 248 days,2073,Pius IV,PIUS Quartus,Giovanni Angelo Medici,"Milan, Duchy of Milan",Italy,60,66,
7 January 1566 - 1 May 1572,1566,1572,6 years and 115 days,2305,"St. Pius V, O.P.",PIUS Quintus,Michele Ghislieri,"Bosco, Duchy of Milan",Italy,61,68,
13 May 1572 - 10 April 1585,1572,1585,12 years and 332 days,4712,Gregory XIII,GREGORIUS Tertius Decimus,Ugo Boncompagni,"Bologna, Papal States",Italy,70,83,
24 April 1585 - 27 August 1590,1585,1590,5 years and 125 days,1950,"Sixtus V, O.F.M. Conv.",XYSTUS Quintus,Felice Peretti,"Grottammare, Marche, Papal States",Italy,63,68,
15 September 1590 - 27 September 1590,1590,1590,12 days,12,Urban VII,URBANUS Septimus,Giovanni Battista Castagna,"Rome, Papal States",Italy,69,69,Shortest-reigning pope; died before coronation.
5 December 1590 - 15/16 October 1591,1590,1591,314 or 315 days,315,Gregory XIV,GREGORIUS Quartus Decimus,Niccolo Sfondrati,"Somma Lombardo, Duchy of Milan",Italy,55,56,
29 October 1591 - 30 December 1591,1591,1591,62 days,62,Innocent IX,INNOCENTIUS Nonus,Giovanni Antonio Facchinetti,"Bologna, Papal States",Italy,72,72,
30 January 1592 - 3 March 1605,1592,1605,13 years and 32 days,4777,Clement VIII,CLEMENS Octavus,Ippolito Aldobrandini,"Fano, Marche, Papal States",Italy,55,69,
1 April 1605 - 27 April 1605,1605,1605,26 days,26,Leo XI ,LEO Undecimus,Alessandro Ottaviano de Medici,"Florence, Duchy of Florence",Italy,69,69,
16 May 1605 - 28 January 1621,1605,1621,15 years and 257 days,5732,Paul V,PAULUS Quintus,Camillo Borghese,"Rome, Papal States",Italy,52,68,
9 February 1621 - 8 July 1623,1621,1623,2 years and 149 days,879,Gregory XV,GREGORIUS Quintus Decimus,Alessandro Ludovisi,"Bologna, Papal States",Italy,67,69,
6 August 1623 - 29 July 1644,1623,1644,20 years and 358 days,7658,Urban VIII,URBANUS Octavus,Maffeo Barberini,"Florence, Grand Duchy of Tuscany",Italy,55,76,
15 September 1644 - 7 January 1655,1644,1655,10 years and 114 days,3764,Innocent X,INNOCENTIUS Decimus,Giovanni Battista Pamphilj,"Rome, Papal States",Italy,70,80,
7 April 1655 - 22 May 1667,1655,1667,12 years and 45 days,4425,Alexander VII,ALEXANDER Septimus,Fabio Chigi,"Siena, Grand Duchy of Tuscany",Italy,56,68,
20 June 1667 - 9 December 1669,1667,1669,2 years and 172 days,902,Clement IX,CLEMENS Nonus,Giulio Rospigliosi,"Pistoia, Grand Duchy of Tuscany",Italy,67,69,
29 April 1670 - 22 July 1676,1670,1676,6 years and 84 days,2274,Clement X,CLEMENS Decimus,Emilio Altieri,"Rome, Papal States",Italy,79,86,
21 September 1676 - 11/12 August 1689,1676,1689,12 years and 324 or 325 days,4705,Bd. Innocent XI,INNOCENTIUS Undecimus,Benedetto Odescalchi,"Como, Duchy of Milan",Italy,65,78,
6 October 1689 - 1 February 1691,1689,1691,1 year and 118 days,483,Alexander VIII,ALEXANDER Octavus,Pietro Vito Ottoboni,"Venice, Republic of Venice",Italy,79,80,
12 July 1691 - 27 September 1700,1691,1700,9 years and 77 days,3362,Innocent XII,INNOCENTIUS Duodecimus,Antonio Pignatelli,"Spinazzola, Kingdom of Naples",Italy,76,85,
23 November 1700 - 19 March 1721,1700,1721,20 years and 116 days,7416,Clement XI,CLEMENS Undecimus,Giovanni Francesco Albani,"Urbino, Marche, Papal States",Italy,51,71,
8 May 1721 - 7 March 1724,1721,1724,2 years and 302 days,1032,Innocent XIII,Tertius Decimus,Michelangelo de Conti,"Poli, Lazio, Papal States",Italy,65,68,
29 May 1724 - 21 February 1730,1724,1730,5 years and 268 days,2093,"Benedict XIII, O.P.", BENEDICTUS Tertius Decimus,Pierfrancesco Orsini,"Gravina in Puglia, Kingdom of Naples",Italy,75,81,
12 July 1730 - 6 February 1740,1730,1740,9 years and 209 days,3494,Clement XII,CLEMENS Duodecimus,Lorenzo Corsini,"Florence, Grand Duchy of Tuscany",Italy,78,87,
17 August 1740 - 3 May 1758,1740,1758,17 years and 259 days,6464,Benedict XIV,BENEDICTUS Quartus Decimus,Prospero Lorenzo Lambertini,"Bologna, Papal States",Italy,65,83,
6 July 1758 - 2 February 1769,1758,1769,10 years and 211 days,3861,Clement XIII,CLEMENS Tertius Decimus,Carlo della Torre Rezzonico,"Venice, Republic of Venice",Italy,65,75,
19 May 1769 - 22 September 1774,1769,1774,5 years and 126 days,1951,"Clement XIV, O.F.M.",CLEMENS Quartus Decimus,Giovanni Vincenzo Antonio Ganganelli,"Sant' Arcangelo di Romagna, Papal States",Italy,63,68,
15 February 1775 - 29 August 1799,1775,1799,24 years and 195 days,8955,Pius VI,PIUS Sextus,Count Giovanni Angelo Braschi,"Cesena, Papal States",Italy,57,81,
14 March 1800 - 20 August 1823,1800,1823,23 years and 159 days,8554,"Pius VII, O.S.B.",PIUS Septimus,Barnaba Chiaramonti,"Cesena, Papal States",Italy,57,81,
28 September 1823 - 10 February 1829,1823,1829,5 years and 135 days,1960,Leo XII,LEO Duodecimus,Count Annibale Sermattei della Genga,"Genga or Spoleto, Papal States",Italy,63,68,
31 March 1829 - 1 December 1830,1829,1830,1 year and 245 days,610,Pius VIII,PIUS Octavus,Francesco Saverio Castiglioni,"Cingoli, Marche, Papal States",Italy,67,69,
2 February 1831 - 1 June 1846 ,1831,1846,15 years and 119 days,5594,"Gregory XVI, O.S.B. Cam.",GREGORIUS Sextus Decimus,Bartolomeo Alberto Cappellari,"Belluno, Republic of Venice",Italy,65,80,
16 June 1846 - 7 February 1878,1846,1878,31 years and 150 days,11465,"Bd. Pius IX, O.F.S.",PIUS Nonus,Count Giovanni Maria Mastai-Ferretti,"Senigallia, Marche, Papal States",Italy,54,85,
20 February 1878 - 20 July 1903,1878,1903,25 years and 150 days,9275,"Leo XIII, O.F.S.",LEO Tertius Decimus,Gioacchino Vincenzo Raffaele Luigi Pecci,"Carpineto Romano, Rome departement, French Empire (now Italy)",Italy,67,93,
4 August 1903 - 20 August 1914,1903,1914,11 years and 16 days,4031,St. Pius X,PIUS Decimus,Giuseppe Melchiorre Sarto,"Riese, Lombardy-Venetia, Austrian Empire",Italy,68,79,
3 September 1914 - 22 January 1922,1914,1922,7 years and 141 days,2696,Benedict XV,BENEDICTUS Quintus Decimus,Giacomo Della Chiesa,"Genoa, Kingdom of Sardinia",Italy,59,67,
6 February 1922 - 10 February 1939,1922,1939,17 years and 4 days,6209,Pius XI,PIUS Undecimus,Achille Ambrogio Damiano Ratti,"Desio, Lombardy-Venetia, Austrian Empire",Italy,64,81,
2 March 1939 - 9 October 1958,1939,1958,19 years and 221 days,7156,Ven. Pius XII,PIUS Duodecimus,Eugenio Maria Giuseppe Giovanni Pacelli,"Rome, Italy",Italy,63,82,
28 October 1958 - 3 June 1963,1958,1963,4 years and 218 days,1678,Bd. John XXIII,IOANNES Vicesimus Tertius,Angelo Giuseppe Roncalli,"Sotto il Monte, Bergamo, Italy",Italy,76,81,
21 June 1963 - 6 August 1978,1963,1978,15 years and 46 days,5521,Servant of God Paul VI,PAULUS Sextus,Giovanni Battista Enrico Antonio Maria Montini,"Concesio, Brescia, Italy",Italy,65,80,
26 August 1978 - 28 September 1978,1978,1978,33 days,33,Servant of God John Paul I,IOANNES PAULUS Primus,Albino Luciani,"Forno di Canale, Veneto, Italy",Italy,65,65,
16 October 1978 - 2 April 2005,1978,2005,26 years and 168 days,9658,Ven. John Paul II (John Paul the Great),IOANNES PAULUS Secundus,Karol Jozef Wojtyla,"Wadowice, Poland",Poland,58,84,
19 April 2005 - 28 February 2013,2005,2013,7 years and 315 days,2870,Benedict XVI,BENEDICTUS Sextus Decimus,Joseph Alois Ratzinger,"Marktl am Inn, Bavaria, Germany",Germany,78,85,First German pope since Stephen IX in 1057. Oldest to become pope since Clement XII in 1730
13th March 2013,2013,,,,Francis I,Franciscum,Jorge Mario Bergoglio,Buenos Aires,Argentina,76,,First Latin American Pope
,,,,,,,,,,,,
Source:,http://www.ecatholic2000.com/papal/pope.shtml,,,,,,,,,,,
